Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-561.6047	-590.1538	28.54908	0.296199	0.444608	0.555392	0.703801	4.481554	0.686945	0.0911201	0.0152893	0.0277719	0.0720049	0.106571	0.162837	0.176049	0.138572	0.123093	0.0709167	0.0136732	0.0390736	0.0447404	0.0334007	0.00346858	0.0981999	0.000469653	0.6022	0.142055	0.147638	0.149742	0.00912753	0.0427663	0.00496616	0.00713701	0.101375	0.0114648	0.00505846	0.674688	0.244761	0.0187141	0.0618368	0.246012	0.504624	0.807851	1.23785	1.98167	4.06484	1.014014	0.219631	0.029133	0.0048883	0.00887927	0.0230215	0.034073	0.0520623	0.0562865	0.0443045	0.0393554	0.0226736	0.00437161	0.0124926	0.0143045	0.0106789	0.00110898	0.0313966	0.000150158	0.192536	0.0454179	0.047203	0.0478758	0.00291826	0.0136733	0.00158779	0.00228185	0.0324117	0.00366555	0.0016173	3.127726
36	-566.4702	-597.6291	31.15889	0.206746	0.413718	0.586283	0.793254	1.945903	0.488901	0.0448385	0.0816305	0.0261835	0.106834	0.161095	0.119398	0.0869045	0.0348965	0.0893347	0.0665008	0.019095	0.02337	0.0351779	0.0201543	0.00254489	0.0212894	0.0609611	0.188495	0.00875212	0.170269	0.156901	0.119545	0.0218887	0.0108473	0.0111697	0.0801908	0.0112119	0.0154459	0.383892	0.294478	0.207324	0.114305	0.173545	0.425657	0.766079	1.30535	2.34931	5.76218	1.266322	0.214071	0.0196331	0.0357429	0.0114647	0.0467784	0.0705375	0.0522796	0.0380522	0.0152798	0.0391162	0.0291181	0.00836095	0.0102328	0.0154031	0.00882478	0.00111431	0.00932183	0.0266925	0.0825349	0.00383222	0.0745541	0.068701	0.0523441	0.00958423	0.00474963	0.0048908	0.0351125	0.00490924	0.00676315	2.283826
72	-564.2111	-597.5294	33.31833	0.0806496	0.344319	0.655681	0.91935	0.6828551	0.0608576	0.00761984	0.00793146	0.00107526	0.0113473	0.00930548	0.047473	0.0216404	0.0266701	0.015577	0.0142909	0.00391548	0.00530319	0.00193118	0.00539048	0.00342334	0.00634191	0.00109155	0.0435552	0.00947493	0.0112128	0.0299351	0.00610232	0.0020763	0.00185725	0.00111234	0.0111829	0.00473131	0.0139804	0.379291	0.43379	0.0978271	0.0890913	0.0427118	0.21484	0.618916	1.61573	4.65463	23.4128	2.280039	0.157496	0.0197198	0.0205262	0.00278271	0.0293664	0.0240821	0.122858	0.0560042	0.0690207	0.0403126	0.0369842	0.0101331	0.0137244	0.00499779	0.0139503	0.00885944	0.0164125	0.00282489	0.112719	0.0245207	0.0290182	0.0774704	0.0157925	0.00537337	0.00480647	0.00287868	0.0289407	0.0122444	0.0361806	0.3864063
108	-573.4912	-605.8878	32.39657	0.113917	0.368282	0.631718	0.886083	0.9124456	0.0364859	0.000851767	0.00716162	0.00110275	0.000880533	0.00620028	0.00947758	0.0146	0.0304393	0.00782434	0.0116303	0.00188205	0.00189463	0.00206152	0.0012862	0.000306172	0.00774471	0.00203539	0.0215172	0.00469255	0.000539249	0.0308764	0.0106197	0.00445229	0.00302278	0.000254996	0.0167298	0.000121059	0.00590708	0.211799	0.722518	0.023108	0.0425749	0.0212813	0.152954	0.55667	1.7964	6.53793	46.9897	2.783763	0.150396	0.00351102	0.0295205	0.00454557	0.0036296	0.0255578	0.039067	0.0601817	0.125472	0.0322523	0.0479407	0.0077579	0.00780976	0.00849768	0.00530176	0.00126205	0.031924	0.00838998	0.0886948	0.0193429	0.00222281	0.127274	0.0437749	0.0183525	0.01246	0.0010511	0.0689609	0.00049901	0.0243493	0.242598
144	-567.0618	-599.5208	32.45897	0.160257	0.393597	0.606404	0.839743	1.330336	0.0532902	0.00504215	0.0104257	0.00209095	0.0060422	0.00460281	0.0209511	0.039136	0.037922	0.00492095	0.00532403	0.00164061	0.000306428	0.0030919	0.00250688	0.000990737	0.0030007	0.00548399	0.0269219	0.0122821	0.00243004	0.00455984	0.000526893	0.00302156	0.003472	0.00869544	0.0108892	0.00154006	0.0131625	0.206998	0.156582	0.408305	0.228114	0.0358052	0.197132	0.602527	1.65968	5.07276	27.9289	2.407574	0.181092	0.0171344	0.0354288	0.00710553	0.0205328	0.0156414	0.0711968	0.132993	0.128868	0.0167225	0.0180923	0.00557515	0.00104131	0.010507	0.00851895	0.00336675	0.0101971	0.0186359	0.091487	0.0417374	0.00825784	0.0154954	0.0017905	0.010268	0.0117986	0.0295491	0.0370039	0.00523347	0.044729	0.2942708
180	-571.176	-602.8583	31.68229	0.197364	0.409958	0.590042	0.802635	1.799541	0.304697	0.0147353	0.0627157	0.0499971	0.0538494	0.0206304	0.0993639	0.0816804	0.105471	0.0577849	0.0521525	0.0256082	0.0151493	0.0169508	0.00969611	0.0124101	0.0122703	0.0159794	0.0472992	0.00978117	0.0216912	0.0120971	0.0917944	0.178011	0.00251028	0.212445	0.0148623	0.0161665	0.00285959	0.259707	0.0215667	0.486613	0.232113	0.0785035	0.289091	0.678973	1.47281	3.45912	12.7383	1.83993	0.188008	0.00909218	0.0386977	0.0308498	0.0332269	0.0127296	0.0613108	0.0503995	0.0650789	0.0356552	0.0321798	0.0158011	0.00934759	0.0104592	0.00598282	0.00765742	0.00757115	0.00985984	0.0291851	0.00603531	0.0133842	0.00746431	0.0566401	0.109839	0.00154892	0.131085	0.00917053	0.00997527	0.00176446	1.620659
216	-574.256	-607.6142	33.35824	0.0414656	0.302567	0.697433	0.958534	0.4525652	0.409387	0.0320654	0.0426293	0.00384576	0.0664605	0.0187444	0.0360948	0.157093	0.11152	4.03707e-05	0.0660254	0.0242104	0.0282471	0.0146334	0.0100484	0.0122762	0.00221565	0.0195041	0.167666	0.0135626	0.0199134	0.0284333	0.0141264	0.0136894	0.00712884	0.0448063	0.0503514	0.0617487	0.0230698	0.0925299	0.769786	0.0730376	0.0646466	0.108455	0.338446	0.713197	1.40214	2.95468	9.22041	1.606239	0.273009	0.0213835	0.0284283	0.00256463	0.0443206	0.0125001	0.0240706	0.104761	0.0743695	2.69221e-05	0.0440305	0.0161453	0.0188372	0.00975862	0.00670099	0.00818666	0.00147755	0.0130068	0.111812	0.00904452	0.0132797	0.0189614	0.00942052	0.00912907	0.00475402	0.02988	0.033578	0.0411785	0.0153846	1.499538
252	-565.2483	-593.3256	28.07726	0.343802	0.45867	0.54133	0.656198	7.9044	0.444172	0.0898276	0.0814392	0.0352122	0.0468971	0.00189545	0.0463555	0.155534	0.2341	0.124457	0.0876671	0.00687616	0.0316017	0.0361238	0.0185836	0.00295368	0.0192318	0.0479438	0.036254	0.0778741	0.0594037	0.0127128	0.163969	0.0332878	0.0310942	0.307462	0.0210564	0.0109732	0.0128927	0.293601	0.460476	0.21527	0.0306529	0.114391	0.347357	0.719003	1.39082	2.87888	8.74191	1.567706	0.194996	0.0394352	0.0357526	0.0154585	0.0205883	0.000832119	0.0203505	0.068281	0.102772	0.0546378	0.0384867	0.0030187	0.0138735	0.0158587	0.0081584	0.00129669	0.00844294	0.0210478	0.0159158	0.0341875	0.0260788	0.00558103	0.0719841	0.0146137	0.0136507	0.134979	0.00924395	0.00481735	0.00566004	2.277853
288	-572.5237	-601.334	28.81035	0.258489	0.432485	0.567515	0.741511	3.073886	0.573535	0.0711616	0.106748	0.0773114	0.0531816	0.161076	0.326696	0.0852764	0.273006	0.0572064	0.113157	0.00768861	0.027302	0.0388669	0.00351858	0.0254709	0.0458513	0.0860915	0.377252	0.125986	0.0232411	0.255148	0.0477324	0.0564597	0.0304704	0.0496353	0.0251234	0.231958	0.0242586	0.390029	0.465368	0.102472	0.0421313	0.23074	0.489095	0.800012	1.24998	2.04459	4.33389	1.060356	0.169664	0.0210512	0.0315784	0.0228704	0.0157323	0.0476498	0.096644	0.0252266	0.0807612	0.0169229	0.0334744	0.00227446	0.00807652	0.0114977	0.00104087	0.00753485	0.0135638	0.0254678	0.111599	0.0372694	0.00687523	0.0754784	0.0141203	0.016702	0.00901381	0.0146832	0.00743207	0.0686183	0.00717623	3.380409
324	-564.7341	-593.9847	29.25057	0.177875	0.401693	0.598306	0.822126	1.53393	0.58583	0.136759	0.0340265	0.0463358	0.0447334	0.104955	0.340341	0.120306	0.263686	0.143672	0.133316	0.0213772	0.0235575	0.068235	0.0268527	0.00663958	0.0565429	0.0464023	1.04875	0.0820491	0.0212024	0.119673	0.0706932	0.0875478	0.0135615	0.0259246	0.0860965	0.110387	0.0143957	0.0983956	0.397509	0.373816	0.13028	0.313947	0.56835	0.838387	1.19277	1.75948	3.18525	0.8376974	0.150837	0.0352122	0.00876102	0.0119304	0.0115178	0.0270234	0.0876298	0.030976	0.0678928	0.0369921	0.0343256	0.00550411	0.0060655	0.0175689	0.00691392	0.00170953	0.0145585	0.0119475	0.270029	0.0211257	0.00545912	0.0308129	0.0182018	0.0225415	0.00349177	0.00667496	0.0221678	0.0284221	0.00370656	3.883854
